"type","playerId","displayName","previousTeam","newTeam","status","reason"
"player","hypergames_veziok","Veziok","","hypergames","active","assigned_to_aw_team_or_preserved"
"player","hypergames_tonyj_s","TonyJ's","","hypergames","active","assigned_to_aw_team_or_preserved"
"player","fabe_de_bullet","Bullet","","fabe_de","active","assigned_to_aw_team_or_preserved"
"player","fabe_de_gunelite","GunElite","","fabe_de","active","assigned_to_aw_team_or_preserved"
"player","fabe_de_kraqz","KraQz","","fabe_de","active","assigned_to_aw_team_or_preserved"
"player","team_exile5_t1_fate","Fate","","team_exile5_t1","active","assigned_to_aw_team_or_preserved"
"player","team_menace_beakd","beakd","","team_menace","active","assigned_to_aw_team_or_preserved"
"player","team_menace_eyedi","Eyedi","","team_menace","active","assigned_to_aw_team_or_preserved"
"player","team_menace_gefkid","GefKid","","team_menace","active","assigned_to_aw_team_or_preserved"
"player","team_menace_juunaz","Juunaz","","team_menace","active","assigned_to_aw_team_or_preserved"
"player","3sup_califa","CaLiFa","","3sup","active","assigned_to_aw_team_or_preserved"
"player","3sup_strife","Strife","","3sup","active","assigned_to_aw_team_or_preserved"
"player","3sup_vert","Vert","","3sup","active","assigned_to_aw_team_or_preserved"
"player","3sup_dimi","Dimi","","3sup","active","assigned_to_aw_team_or_preserved"
"player","epsilon_esports_joshh","Joshh","","epsilon_esports","active","assigned_to_aw_team_or_preserved"
"player","vitality_x_riskin","RiskiN","","vitality_x","active","assigned_to_aw_team_or_preserved"
"player","vitality_x_oxygen","Oxygen","","vitality_x","active","assigned_to_aw_team_or_preserved"
"player","klar1ty_gaming_dmk0","DMK0","","klar1ty_gaming","active","assigned_to_aw_team_or_preserved"
"player","klar1ty_gaming_skittlez","SkittleZ","","klar1ty_gaming","active","assigned_to_aw_team_or_preserved"
"player","klar1ty_gaming_scotland","Scotland","","klar1ty_gaming","active","assigned_to_aw_team_or_preserved"
"player","klar1ty_gaming_sunnyb","SunnyB","","klar1ty_gaming","active","assigned_to_aw_team_or_preserved"
"player","fabe_allstars_rush","RusH","","fabe_allstars","active","assigned_to_aw_team_or_preserved"
"player","fabe_allstars_sempa","Sempa","","fabe_allstars","active","assigned_to_aw_team_or_preserved"
"player","fabe_allstars_lxt","LXT","","fabe_allstars","active","assigned_to_aw_team_or_preserved"
"player","ssof_gaming_le","Le","","ssof_gaming","active","assigned_to_aw_team_or_preserved"
"player","ssof_gaming_h","H","","ssof_gaming","active","assigned_to_aw_team_or_preserved"
"player","ssof_gaming_caio","Caio","","ssof_gaming","active","assigned_to_aw_team_or_preserved"
"player","ssof_gaming_carlao","Carlao","","ssof_gaming","active","assigned_to_aw_team_or_preserved"
