eraId,playerId,displayName,conflictingTeams,keptTeam,removedFromTeams,resolutionReason,replacementPlayersAdded,needsManualReview
advanced_warfare,hist_teepee,TeePee,"Denial Esports; OpTic Nation",Denial Esports,OpTic Nation,preserved_on_user_roster,"",false
advanced_warfare,hist_karma,Karma,"Denial Esports; OpTic Nation",Denial Esports,OpTic Nation,preserved_on_user_roster,"",false
